fct_name,column_name,id_to_exclude,comment
fct_root_models,child,dim_dates,dim_dates does not have a parent model as it is a date table generated with dbt-utils
fct_multiple_sources_joined,child,stg_%_unioned,Models called _unioned can union multiple sources
